book_imbalance,mid_price,timestamp
15205137.791315576,38013500.0,2022-05-22 02:30:48.010101
15204883.697046597,38012600.0,2022-05-22 02:30:52.965430
15204645.117264103,38012100.0,2022-05-22 02:30:57.925862
15204872.59972896,38012600.0,2022-05-22 02:31:02.882574
15204631.899296958,38012100.0,2022-05-22 02:31:07.878438
15202021.149022073,38006600.0,2022-05-22 02:31:12.879264
15202066.231361788,38006900.0,2022-05-22 02:31:17.835069
15202066.231361788,38006900.0,2022-05-22 02:31:22.796452
15202066.231361788,38006900.0,2022-05-22 02:31:27.756776
15201385.699974101,38004200.0,2022-05-22 02:31:32.722034
15201698.720629642,38004900.0,2022-05-22 02:31:37.680705
15201641.200271374,38004900.0,2022-05-22 02:31:42.636317
15201641.200271374,38004900.0,2022-05-22 02:31:47.600389
15199027.730858896,37997900.0,2022-05-22 02:31:52.557510
15202632.970144058,38005800.0,2022-05-22 02:31:57.515736
15210774.497248417,38026200.0,2022-05-22 02:32:02.474572
15211034.615914905,38026700.0,2022-05-22 02:32:07.428577
15211546.839356516,38028400.0,2022-05-22 02:32:12.384555
15211618.765725126,38028600.0,2022-05-22 02:32:17.342587
15211654.77844379,38028700.0,2022-05-22 02:32:22.300964
15211547.024995843,38028400.0,2022-05-22 02:32:27.266556
15211618.804047685,38028600.0,2022-05-22 02:32:32.239086
15212237.388962477,38030500.0,2022-05-22 02:32:37.199711
15212401.348964998,38031100.0,2022-05-22 02:32:42.161477
15212401.488483662,38031100.0,2022-05-22 02:32:47.278239
15212401.488483662,38031100.0,2022-05-22 02:32:52.237532
15212923.68560787,38032100.0,2022-05-22 02:32:57.198171
15212836.423298929,38031800.0,2022-05-22 02:33:02.162367
15212697.343150958,38031800.0,2022-05-22 02:33:07.117883
15210941.230163693,38027700.0,2022-05-22 02:33:12.087915
15210768.15194943,38027100.0,2022-05-22 02:33:17.214038
15210791.665130567,38027100.0,2022-05-22 02:33:22.177209
15210791.665130567,38027100.0,2022-05-22 02:33:27.146445
15209535.992506703,38025000.0,2022-05-22 02:33:32.101518
15209752.73652181,38025500.0,2022-05-22 02:33:37.059871
15209752.73652181,38025500.0,2022-05-22 02:33:42.023015
15209798.501060534,38024700.0,2022-05-22 02:33:46.979307
15209688.919970054,38024400.0,2022-05-22 02:33:51.946488
15209822.458252823,38024200.0,2022-05-22 02:33:56.904577
15209822.458252823,38024200.0,2022-05-22 02:34:01.862307
15209822.458252823,38024200.0,2022-05-22 02:34:06.823351
15209822.458252823,38024200.0,2022-05-22 02:34:11.778699
15209752.73652181,38025500.0,2022-05-22 02:34:16.735207
15209612.984530633,38024000.0,2022-05-22 02:34:21.693309
15209473.583376765,38023500.0,2022-05-22 02:34:26.651597
15209171.961003166,38023000.0,2022-05-22 02:34:31.609523
15209031.70466206,38022200.0,2022-05-22 02:34:36.587302
15208321.073924476,38021000.0,2022-05-22 02:34:41.543964
15208321.073924476,38021000.0,2022-05-22 02:34:46.500525
15208594.531627351,38021700.0,2022-05-22 02:34:51.627035
15208594.531627351,38021700.0,2022-05-22 02:34:56.592581
15208594.531627351,38021700.0,2022-05-22 02:35:01.822347
15208594.531627351,38021700.0,2022-05-22 02:35:06.790073
15207250.119518716,38017500.0,2022-05-22 02:35:11.752722
15209752.73652181,38025500.0,2022-05-22 02:35:16.714782
15202851.431165516,38007100.0,2022-05-22 02:35:21.680102
15202643.753859293,38007100.0,2022-05-22 02:35:26.636262
15202643.753859293,38007100.0,2022-05-22 02:35:31.596655
15202120.157687832,38005600.0,2022-05-22 02:35:36.549826
15200978.202216018,38002600.0,2022-05-22 02:35:41.505907
15200798.364675382,38002700.0,2022-05-22 02:35:46.466760
15200710.722603953,38002400.0,2022-05-22 02:35:51.422470
15200408.935191834,38001800.0,2022-05-22 02:35:56.379330
15209752.73652181,38025500.0,2022-05-22 02:36:01.351054
15198493.34450844,37996100.0,2022-05-22 02:36:06.311782
15198997.571078891,37997100.0,2022-05-22 02:36:11.559006
15201073.560585057,38003000.0,2022-05-22 02:36:16.521013
15199261.10411022,37997800.0,2022-05-22 02:36:21.482402
15198302.801984766,37995800.0,2022-05-22 02:36:26.440356
15197677.900112918,37994500.0,2022-05-22 02:36:31.400117
